panel_area_sqm,sunlight_hours,cloud_cover_pct,panel_age_years,power_output_kwh
26.4,3.3,150.4,36,400.39
14.5,5.3,96.7,37,342.87
47.2,3.0,110.5,34,301.65
35.3,3.2,73.9,32,257.83
18.1,8.2,137.8,15,325.89
18.6,9.2,140.7,17,349.84
48.0,10.4,133.2,26,360.95
15.2,3.3,132.0,21,347.89
15.0,6.0,51.2,14,166.68
30.6,10.9,101.7,38,409.0
47.6,6.4,103.4,14,258.22
12.2,4.8,72.2,28,277.53
16.0,3.0,89.6,11,223.86
47.0,6.4,140.8,31,329.11
11.6,2.9,78.1,22,251.58
46.7,11.2,96.8,38,343.3
43.4,3.4,124.2,40,327.91
17.4,6.2,64.5,32,278.37
31.6,3.3,87.8,36,287.11
47.5,3.2,76.9,17,236.64
