panel_area_sqm,sunlight_hours,cloud_cover_pct,panel_age_years,power_output_kwh
45.0,9.6,25.9,14,79.34
6.4,10.4,7.1,3,109.94
42.9,11.4,61.8,19,213.34
15.7,11.0,65.6,7,225.37
44.8,7.3,14.8,13,124.1
31.1,6.6,20.8,8,90.64
11.1,2.4,36.1,4,108.83
38.8,3.4,8.6,9,32.2
18.4,5.9,76.0,5,210.2
13.4,4.6,39.7,5,170.39
25.8,8.1,34.8,2,111.46
40.8,5.1,25.7,2,65.38
43.5,2.3,27.0,10,81.64
13.9,3.6,22.0,7,121.77
42.8,10.9,65.7,5,217.33
8.3,2.9,20.9,5,65.82
47.1,9.0,28.5,16,118.05
35.2,3.4,76.8,3,174.91
47.1,6.7,66.6,18,196.22
31.8,12.0,28.6,2,94.33
13.5,11.6,34.2,5,194.23
7.0,6.8,14.5,9,178.23
10.3,4.9,44.4,18,246.5
46.7,11.1,68.3,7,204.16
6.1,5.4,43.9,7,181.49
